,Question,option a,option b,option c,option d,Answer,Explanation,Tag,Difficulty
261,Which of the following matrices is both symmetric and skew symmetric?,A=\(\begin{bmatrix}1&0\\1&0\end{bmatrix}\,A=\(\begin{bmatrix}0&0&0\\0&0&0\\0&0&0\end{bmatrix}\,A=\(\begin{bmatrix}1&0&1\\1&0&1\end{bmatrix}\,A=\(\begin{bmatrix}0&0&-2\\1&0&-1\\2&0&0\end{bmatrix}\,B,The matrix A=\(\begin{bmatrix}0&0&0\\0&0&0\\0&0&0\end{bmatrix}\)=A’=-A’.Hence a null matrix is both symmetric and skew-symmetric.,Mathematics,62
262,The matrix A=\(\begin{bmatrix}2&9\\2&6\end{bmatrix}\) as a sum of symmetric and skew-symmetric matrix is ______,\( \frac{1}{4} \begin{bmatrix}4&11\\11&12\end{bmatrix} – \frac{1}{2} \begin{bmatrix}0&7\\-7&0\end{bmatrix}\,\( \frac{1}{4} \begin{bmatrix}4&11\\11&12\end{bmatrix} + \frac{1}{2} \begin{bmatrix}0&7\\7&0\end{bmatrix}\,\( \frac{1}{2} \begin{bmatrix}4&11\\11&12\end{bmatrix} + \frac{1}{2} \begin{bmatrix}0&7\\-7&0\end{bmatrix}\,\( \frac{1}{2} \begin{bmatrix}4&11\\11&12\end{bmatrix} – \frac{1}{2} \begin{bmatrix}0&7\\-7&0\end{bmatrix}\,C,Given that A=\(\begin{bmatrix}2&9\\2&6\end{bmatrix}\).,Mathematics,63
263,If A=\(\begin{bmatrix}1&0\\0&1\end{bmatrix}\) then which of the following statement is incorrect?,A is a skew-symmetric matrix,A is a square matrix,A is a symmetric,A is an identity matrix,A,Given that A=\(\begin{bmatrix}1&0\\0&1\end{bmatrix}\),Mathematics,64
264,If A=\(\begin{bmatrix}a&b\\c&d\end{bmatrix}\) then which of the following is skew-symmetric?,AA’,A+A’,2(A+A’,A-A’,C,Given that A=\(\begin{bmatrix}a&b\\c&d\end{bmatrix}\),Mathematics,65
265,How many elementary operations are possible on Matrices?,3,2,6,5,C,There are a total of 6 elementary operations that are possible on matrices three on rows and three on columns.,Mathematics,66
266,Which among the following is inverse of the matrix A=\(\begin{bmatrix}2&3\\5&1\end{bmatrix}\) ?,\(\begin{bmatrix}\frac{1}{13}&\frac{3}{13}\\ \frac{5}{13}&\frac{-2}{13}\end{bmatrix}\,\(\begin{bmatrix}\frac{-1}{13}&\frac{3}{13}\\ \frac{5}{13}&\frac{-2}{13}\end{bmatrix}\,\(\begin{bmatrix}\frac{-1}{13}&\frac{3}{13}\\1&\frac{-2}{13}\end{bmatrix}\,\(\begin{bmatrix}\frac{-1}{13}&\frac{3}{13}\\ \frac{5}{13}&-2\end{bmatrix}\,B,Consider the matrix A=\(\begin{bmatrix}2&3\\5&1\end{bmatrix}\),Mathematics,67
267,Which of the following matrices will not have an inverse?,\(\begin{bmatrix}2&4\\-1&1\end{bmatrix}\,\(\begin{bmatrix}1&5&2\\6&4&2\\1&3&2\end{bmatrix}\,\(\begin{bmatrix}1&2\\1&1\end{bmatrix}\,\(\begin{bmatrix}1&2&5\\3&6&4\end{bmatrix}\,D,The matrix A=\(\begin{bmatrix}1&2&5\\3&6&4\end{bmatrix}\) will not have an inverse as it is a rectangular matrix. Rectangular matrix does not possess an inverse matrix.,Mathematics,68
268,The inverse of the matrix A=\(\begin{bmatrix}1&2&4\\5&2&4\\3&6&2\end{bmatrix}\) is,\(\begin{bmatrix}\frac{-1}{4}&\frac{1}{4}&0\\ \frac{1}{40}&\frac{-1}{8}&\frac{1}{5}\\ \frac{3}{40}&1&\frac{-1}{10}\end{bmatrix}\,\(\begin{bmatrix}\frac{-1}{4}&\frac{1}{4}&1\\ \frac{1}{40}&\frac{-1}{8}&\frac{1}{5}\\ \frac{3}{40}&0&\frac{-1}{10}\end{bmatrix}\,\(\begin{bmatrix}\frac{-1}{4}&\frac{1}{4}&0\\ \frac{1}{40}&\frac{-1}{8}&\frac{1}{5}\\ \frac{3}{40}&0&\frac{-1}{10}\end{bmatrix}\,\(\begin{bmatrix}\frac{-1}{4}&-\frac{1}{4}&0\\ \frac{1}{40}&\frac{1}{8}&\frac{-1}{5}\\ \frac{3}{40}&0&\frac{-1}{10}\end{bmatrix}\,C,Consider the matrix A=\(\begin{bmatrix}1&2&4\\5&2&4\\3&6&2\end{bmatrix}\),Mathematics,69
269,Which of the following is the inverse of the matrix A=\(\begin{bmatrix}8&1\\1&2\end{bmatrix}\)?,\(\begin{bmatrix}\frac{2}{15}&-\frac{1}{15}\\\frac{1}{15}&\frac{8}{15}\end{bmatrix}\,\(\begin{bmatrix}\frac{1}{15}&-\frac{1}{15}\\-\frac{1}{15}&\frac{1}{15}\end{bmatrix}\,\(\begin{bmatrix}\frac{2}{15}&-\frac{1}{15}\\-\frac{1}{15}&\frac{8}{15}\end{bmatrix}\,\(\begin{bmatrix}\frac{2}{15}&\frac{1}{15}\\\frac{1}{15}&\frac{4}{15}\end{bmatrix}\,C,Consider the matrix A=\(\begin{bmatrix}8&1\\1&2\end{bmatrix}\),Mathematics,70
270,Find the inverse of matrix A=\(\begin{bmatrix}5&1&3\\4&2&6\\5&4&2\end{bmatrix}\),\(\begin{bmatrix}0&-\frac{1}{6}&0\\-\frac{11}{30}&\frac{1}{12}&\frac{3}{10}\\-\frac{1}{10}&\frac{1}{4}&-\frac{1}{10}\end{bmatrix}\,\(\begin{bmatrix}\frac{1}{3}&-\frac{1}{6}&0\\-\frac{11}{30}&\frac{1}{12}&\frac{3}{10}\\-\frac{1}{10}&\frac{1}{4}&-\frac{1}{10}\end{bmatrix}\,\(\begin{bmatrix}\frac{1}{3}&-\frac{1}{6}&0\\-\frac{11}{30}&1&\frac{3}{10}\\-\frac{1}{10}&\frac{1}{4}&-\frac{1}{10}\end{bmatrix}\,\(\begin{bmatrix}\frac{1}{3}&\frac{1}{6}&0\\\frac{11}{30}&\frac{1}{12}&\frac{3}{10}\\-\frac{1}{10}&\frac{1}{4}&\frac{1}{10}\end{bmatrix}\,B,Consider the matrix A=\(\begin{bmatrix}5&1&3\\4&2&6\\5&4&2\end{bmatrix}\),Mathematics,71
271,Find the inverse of A=\(\begin{bmatrix}5&3\\4&1\end{bmatrix}\),\(\begin{bmatrix}-\frac{1}{7}&\frac{3}{7}\\\frac{4}{7}&-\frac{5}{7}\end{bmatrix}\,\(\begin{bmatrix}-\frac{1}{7}&\frac{3}{7}\\\frac{4}{7}&\frac{5}{7}\end{bmatrix}\,\(\begin{bmatrix}-\frac{1}{7}&-\frac{3}{7}\\\frac{4}{7}&-\frac{5}{7}\end{bmatrix}\,\(\begin{bmatrix}0&\frac{3}{7}\\\frac{4}{7}&\frac{5}{7}\end{bmatrix}\,A,Consider the matrix A=\(\begin{bmatrix}5&3\\4&1\end{bmatrix}\),Mathematics,72
272,Evaluate \(\begin{vmatrix}2&5\\-1&-1\end{vmatrix}\),3,-7,5,-2,A,Expanding along R,Mathematics,73
273,Evaluate \(\begin{vmatrix}5&-4\\1&\sqrt{3}\end{vmatrix}\),4\(\sqrt{3}\+4,4\(\sqrt{3}\+5,5\(\sqrt{3}\+4,5\(\sqrt{3}\-4,C,Evaluating along R,Mathematics,74
274,Evaluate \(\begin{vmatrix}i&-1\\-1&-i\end{vmatrix}\),4,3,2,0,D,Expanding along R,Mathematics,75
275,Evaluate \(\begin{vmatrix}1&1&-2\\3&4&5\\-1&2&1\end{vmatrix}\),-6,-34,34,22,B,∆=\(\begin{vmatrix}1&1&-2\\3&4&5\\-1&2&1\end{vmatrix}\),Mathematics,76
276,Evaluate \(\begin{vmatrix}5&4&3\\3&4&1\\5&6&1\end{vmatrix}\),4,-24,-8,8,C,Expanding along the first row we get,Mathematics,77
277,If A=\(\begin{bmatrix}2&5&9\\6&1&3\\4&8&2\end{bmatrix}\) find |A|,352,356,325,532,A,Given that A=\(\begin{bmatrix}2&5&9\\6&1&3\\4&8&2\end{bmatrix}\),Mathematics,78
278,Evaluate \(\begin{vmatrix}\sqrt{3}&\sqrt{2}\\-1&2\sqrt{3}\end{vmatrix}\),6-3\(\sqrt{2}\,6-\(\sqrt{2}\,6+3\(\sqrt{2}\,6+\(\sqrt{2}\,D,∆=\(\begin{vmatrix}\sqrt{3}&\sqrt{2}\\-1&2\sqrt{3}\end{vmatrix}\),Mathematics,79
279,Find the value of x if \(\begin{vmatrix}3&x\\2&x^2 \end{vmatrix}\)=\(\begin{vmatrix}5&3\\3&2\end{vmatrix}\),x=1 –\(\frac{1}{3}\,x=-1 –\(\frac{1}{3}\,x=1 \(\frac{1}{3}\,x=-1 \(\frac{1}{3}\,A,Given that \(\begin{vmatrix}3&x\\2&x^2 \end{vmatrix}\)=\(\begin{vmatrix}5&3\\3&2\end{vmatrix}\),Mathematics,80
280,Evaluate \(\begin{vmatrix}3&-1&3\\6&-5&4\\3&-2&3\end{vmatrix}\),100,223,240,230,C,Expanding along R,Mathematics,81
281,Evaluate \(\begin{vmatrix}1&0&1\\0&0&1\\1&0&1\end{vmatrix}\),2,0,1,-1,B,Δ=\(\begin{vmatrix}1&0&1\\0&0&1\\1&0&1\end{vmatrix}\),Mathematics,82
282,Evaluate \(\begin{vmatrix}sin⁡ \y&0&sin⁡ \y\\cos⁡ \y&1&cos⁡ \x\\sin⁡ \y&1&sin ⁡\y \end{vmatrix}\),sin⁡ y (cos⁡ y-cos⁡ x,sin⁡ x (cos⁡ y-cos⁡ x,sin ⁡x (cos⁡ x-cos⁡ y,sin ⁡y (cos⁡ 2y-cos⁡ x,A,Δ=\(\begin{vmatrix}sin⁡ \y&0&sin⁡ \y\\cos⁡ \y&1&cos⁡ \x\\sin⁡ \y&1&sin⁡ \y \end{vmatrix}\),Mathematics,83
283,Find the value of x if \(\begin{vmatrix}2&5\\3&x\end{vmatrix}\)=\(\begin{vmatrix}x&-1\\5&3\end{vmatrix}\),20,-20,30,-30,B,\(\begin{vmatrix}2&5\\3&x\end{vmatrix}\)=\(\begin{vmatrix}x&-1\\5&3\end{vmatrix}\),Mathematics,84
284,Find the value of x if \(\begin{vmatrix}1&-1\\3&-5\end{vmatrix}\)=\(\begin{vmatrix}x&x^2\\3&5\end{vmatrix}\),x=2 –\(\frac{1}{3}\,x=-1 –\(\frac{1}{3}\,x=-2 –\(\frac{1}{3}\,x=0 –\(\frac{1}{3}\,A,Given that \(\begin{vmatrix}1&-1\\3&-5\end{vmatrix}\)=\(\begin{vmatrix}x&x^2\\3&5\end{vmatrix}\),Mathematics,85
285,Which of the following matrices will not have a determinant?,\(\begin{bmatrix}4&2\\5&4\end{bmatrix}\,\(\begin{bmatrix}1&5&4\\3&6&2\\4&8&7\end{bmatrix}\,\(\begin{bmatrix}5&8&9\\3&4&6\end{bmatrix}\,\(\begin{bmatrix}1&2\\5&4\end{bmatrix}\,C,Determinant of the matrix A=\(\begin{bmatrix}5&8&9\\3&4&6\end{bmatrix}\) is not possible as it is a rectangular matrix and not a square matrix. Determinants can be calculated only if the matrix is a square matrix.,Mathematics,86
286,Find the determinant of the matrix A=\(\begin{bmatrix}9&8\\7&6\end{bmatrix}\),-1,1,2,-2,D,Given that A=\(\begin{bmatrix}9&8\\7&6\end{bmatrix}\),Mathematics,87
287,Evaluate \(\begin{vmatrix}5&0&5\\1&4&3\\0&8&6\end{vmatrix}\),20,0,-40,40,B,Δ=\(\begin{vmatrix}5&0&5\\1&4&3\\0&8&6\end{vmatrix}\),Mathematics,88
288,What will be the value of \(\begin{vmatrix}0 & p-q & a – b\\q – p & 0 & x – y\\b – a & y – x & 0 \end {vmatrix}\)?,0,a + b,x + y,p + q,A,The above matrix is a skew symmetric matrix and its order is odd,Mathematics,89
289,What will be the value of f(x) if \(\begin{vmatrix}x & b & c\\a & y & c\\a & b & z \end {vmatrix}\)?,(x – a(y – b(z – c(\(\frac{x}{x-a} + \frac{b}{y – b} – \frac{c}{z-c}\ – 2,(x – a(y – b(z – c(\(\frac{x}{x-a} – \frac{b}{y – b} – \frac{c}{z-c}\ – 2,(x – a(y – b(z – c(\(\frac{x}{x-a} + \frac{b}{y – b} + \frac{c}{z-c}\ – 2,(x – a(y – b(z – c(\(\frac{x}{x-a} + \frac{b}{y – b} + \frac{c}{z-c}\ + 2,C,Given \(\begin{vmatrix}x & b & c\\a & y & c\\a & b & z \end {vmatrix}\) = \(\begin{vmatrix}x & b & c\\a – x & y – b & 0\\0 & b – y & z – c \end {vmatrix}\),Mathematics,90
290,What will be the value of \(\begin{vmatrix}cos^2⁡ θ & cosθ \ sinθ & -sinθ \\cosθ\ sinθ & sin^2⁡θ & cosθ \\sinθ & -cosθ & 0 \end {vmatrix}\)?,-1,0,1,2,C,The given matrix is \(\begin{vmatrix}cos^2 θ & cosθ\ sinθ & -sinθ \\cosθ\ sinθ & sin^2⁡ θ & cosθ \\sinθ & -cosθ & 0 \end {vmatrix}\),Mathematics,91
291,What is the value of \(\begin{vmatrix}sin^2 ⁡a & sina\ cosa & cos^2 ⁡a \\sin^2 ⁡b & sinb\ cosb & cos^2 ⁡b \\sin^2⁡ c & sinc\ cosc & cos^2⁡ c \end {vmatrix}\)?,-sin(a – b sin(b – c sin(c – a,sin(a – b sin(b – c sin(c – a,-sin(a + b sin(b + c sin(c + a,sin(a + b sin(b + c sin(c + a,A,We have \(\begin{vmatrix}sin^2 a & sina \cosa & cos^2 a\\sin^2 b & sinb\ cosb & cos^2 b\\sin^2 c & sinc\ cosc & cos^2 c \end {vmatrix}\),Mathematics,92
292,What will be the value of f(x) if \(\begin{vmatrix}1 & ab & (\frac{1}{a} + \frac{1}{b}) \\1 & bc & (\frac{1}{b} + \frac{1}{c}) \\1 & ca & (\frac{1}{c} + \frac{1}{a})\end {vmatrix}\)?,-1,0,1,Can’t be predicted,C,We have\(\begin{vmatrix}1 & ab & (\frac{1}{a} + \frac{1}{b}) \\1 & bc & (\frac{1}{b} + \frac{1}{c}) \\1 & ca & (\frac{1}{c} + \frac{1}{a})\end {vmatrix}\),Mathematics,93
293,What is the value of \(\begin{vmatrix}1 & cosx-sinx & cosx + sinx \\1 & cosy-siny & cosy + siny \\1 & cosz-sinz & cosz + sinz \end {vmatrix}\)?,3\(\begin{vmatrix}1 & cosx & sinx \\1 & cosy & siny \\1 & cosz & sinz \end {vmatrix}\,\(\begin{vmatrix}1 & cosx & sinx \\1 & cosy & siny \\1 & cosz & sinz \end {vmatrix}\,2\(\begin{vmatrix}1 & cosx & sinx \\1 & cosy & siny \\1 & cosz & sinz \end {vmatrix}\,4\(\begin{vmatrix}1 & cosx & sinx \\1 & cosy & siny \\1 & cosz & sinz \end {vmatrix}\,C,Let a = cosx b = cosy c = cosz p =sinx q = siny and r = sinz,Mathematics,94
294,What will be the value of f(x) if \(\begin{vmatrix}1 & 1 & 1 \\x & y & z \\x^3 & y^3 & z^3 \end {vmatrix}\)?,-1,0,1,2,B,Given \(\begin{vmatrix}1 & 1 & 1 \\x & y & z \\x^3 & y^3 & z^3  \end {vmatrix}\),Mathematics,95
295,Which of the following is not a property of determinant?,The value of determinant changes if all of its rows and columns are interchanged,The value of determinant changes if any two rows or columns are interchanged,The value of determinant is zero if any two rows and columns are identical,The value of determinant gets multiplied by k if each element of row or column is multiplied by k,A,The value of determinant remains unchanged if all of its rows and columns are interchanged i.e. |A|=|A’| where A is a square matrix and A’ is the transpose of the matrix A.,Mathematics,96
296,Find the determinant of the matrix A=\(\begin{bmatrix}1&x&y\\1&x&-y\\1&-x^2&y^2\end{bmatrix}\),(x+1,-2xy(x+1,xy(x+1,2xy(x+1,B,Given that A=\(\begin{bmatrix}1&x&y\\1&x&-y\\1&-x^2&y^2\end{bmatrix}\),Mathematics,97
297,Evaluate \(\begin{vmatrix}b-c&b&c\\a&c-a&c\\a&b&a-b\end{vmatrix}\),2abc,2a{(b-c(c-a+b},2b{(a-c(a+b+c},2c{(b-c(a-c+b},B,Δ=\(\begin{vmatrix}b-c&b&c\\a&c-a&c\\a&b&a-b\end{vmatrix}\),Mathematics,98
298,If A=\(\begin{bmatrix}1&3\\2&1\end{bmatrix}\) then ________,|2A|=4|A|,|2A|=2|A|,|A|=2|A|,|A|=|4A|,A,Given that A=\(\begin{bmatrix}1&3\\2&1\end{bmatrix}\),Mathematics,99
299,Evaluate \(\begin{vmatrix}-a&b&c\\-2a+4x&2b-4y&2c+4z\\x&-y&z\end{vmatrix}\),0,abc,2abc,-1,A,Δ=\(\begin{vmatrix}-a&b&c\\-2a+4x&2b-4y&2c+4z\\x&-y&z\end{vmatrix}\),Mathematics,100
300,What is the period from birth to natural death of an organism known as?,Life span,Senescence,Age,Life cycle,A,The period from birth to natural death of an organism is known as its life span. It varies from few years to thousand years depending on the organism.,Biology,1
301,What is the term used to describe genetic and morphologic similarities between different individuals?,Offspring,Clone,Gamete,Cell,B,Clones are organisms with the same genetic and morphological similarities. It can be carried out naturally and artificially. Asexual reproduction is an example of natural cloning. Artificial cloning is carried out in labs. In biotechnology cloning can refer to DNA fragments or cell copies.,Biology,2
302,Which plant is the “terror of Bengal”?,Cereus,Corpse plant,Water hyacinth,Cactus,C,Water hyacinth is a water weed that grows on still water. It drains out all the oxygen from the water bodies which is extremely fatal for the marine organisms. It is very difficult to get rid of them because even if leaves behind a single bud it will start multiplying at a great speed.,Biology,3
303,From where do rhizomes arise?,Roots,Leaves,Buds,Nodes,D,The site of origin in rhizomes is from nodes present in modified stems. Examples of plants that give rise to new plantlets from nodes potatoes (the nodes on potatoes are also called nodes) and ginger.,Biology,4
304,What is the period of growth known as in plants?,Senescence,Juvenile phase,Reproductive phase,Vegetative phase,D,The general term for the period of growth is known as juvenile phase. In plants it is known as the vegetative phase. The end of juvenile phase marks the beginning of reproductive phase.,Biology,5
305,Which of the following undergoes binary fission?,Amoeba,Hydra,Yeast,Ring worm,A,Amoeba undergoes binary fission. Many single celled organisms undergo binary fission. The diagram depicts the process.,Biology,6
306,How does hydra reproduce?,Gemmules,Budding,Conidia,Zoospores,A,Hydra reproduces by forming buds externally. It grows and develops tentacles. It eventually separates from the parent and lives an independent life. This process may also be known as fragmentation in hydra since a part of it falls of and starts growing independently.,Biology,7
307,Which organism undergoes the phenomenon of encystation?,Plants,Amoeba,Ring worm,Fungi,B,Amoeba undergoes the phenomenon of encystation. Under unfavorable conditions amoeba withdraws its pseudopodium and secretes a cyst that covers it.,Biology,8
308,Which one of the following is an example of a runner?,Lolium multiflorum,Narcissus,Bryophyllum daigremontianum,Kalanchoe,A,Lolium multiflorum also known as lawn grass is a type of runner. Narcissus is a plant that reproduces by bulb formation like onions and the other 2 are plants that reproduce by adventitious buds.,Biology,9
309,What is budding also called in yeast?,Archaeocytes,Vegetative propagation,Torulation,Fragmentation,C,Budding is the process of formation of small mini structures similar to the parent that grow to an extent and then falls off to grow independently. It is also called torulation in yeast as a parent cell. Buds bearing buds resemble a fungi genus Torula.,Biology,10
310,Which of the following is not an example of vegetative propagation?,Offset,Sucker,Rhizome,Fragmentation,D,In some organisms a body part breaks and forms into an independent organism just like the parent. Hydra is one such organism which undergoes reproduction like that.,Biology,11
311,Which of the following is commonly known as walking fern?,Kalanchoe,Saintpaulia,Begonia,Adiantum caudatum,D,Adiantum caudatum is commonly known as walking fern. This is because their leaf tips form new plants when they come in contact with the soil. Others are an example of plants that reproduce by leaves. It forms buds on the notches and falls off when old enough to grow on its own. In begonia the injured leaf grows into a new plant.,Biology,12
312,Offset can also be described as a ______,Thick runner,Thin tuber,Long rhizome,Short suckers,A,Offset is a thick runner type branch that helps in vegetative propagation by sub aerial stems. It can grow even if there is an injury and it will grow independently. Examples are Pistia Eichhornia.,Biology,13
313,What are non-motile fungal spores also known as?,Gemmules,Nodes,Conidia,Zoospores,C,Conidia are non-motile fungal spores that are produced singly or in chains by constriction of tips of conidiophores and are dispersed by wind. Zoospores are motile fungal spores. Gemmules are reproductive structures of sponges and nodes are just a site on the stem from where the new plant arises in rhizomes (vegetative propagation).,Biology,14
314,Which of the following is a vegetative propagation by sub aerial stems?,Tuber,Rhizome,Bulbils,Sucker,D,In suckers the lateral branches arise from basal and underground portions of the main stem. They grow horizontally underground and the leafy shots arise from the soil. For example bananas.,Biology,15
315,Which of the following is an example of a bulb?,Tulip,Oxalis,Bryophyllum daigremontianum,Kalanchoe,A,Tulip is an example of a bulb. It is a vegetative propagation by underground stems. They have more than one terminal buds. Another very common example is the onion. Oxalis is and example of a runner and the other 2 are examples of vegetative propagation by leaves.,Biology,16
316,Which of the following is not an example of sub aerial vegetative propagation?,Sucker,Offset,Runner,Bulbils,D,Bulbils also called vegetative propagation by flower buds is not an example of sub aerial vegetative propagation. It produces multicellular fleshy buds that give rise to new plants. Example Agave.,Biology,17
317,How does a starfish reproduce?,Lays eggs,Budding,Binary fission,Fragmentation,C,Starfish reproduces by binary fission. Just like the single celled organisms starfish breaks along the central axis. The 2 separate halves then lead an independent life by forming or regenerating the limbs and missing parts.,Biology,18
318,How are male honey bees born?,Parthenogenesis,Fragmentation,Eggs,Spores,A,Parthenogenesis is a process of reproduction where the ovum is unfertilized. In case of bees the eggs are haploid which subsequently makes the male bee haploid. It is a type of asexual reproduction. This type of reproduction takes place in lower plants like aphids.,Biology,19
319,What is sexual reproduction?,Fusion of male and female gamete,Fusion of male and male gamete,Fusion of female and female gamete,Either a male or a female gamete,A,The fusion of a haploid male (23 chromosomes) and a haploid female gamete (23 chromosomes) produces a diploid (46 chromosomes) egg or a zygote. This process of reproduction is known as sexual reproduction.,Biology,20
320,What is phase when the organism is old enough to reproduce known as?,Juvenile phase,Vegetative phase,Senescence,Reproductive phase,D,The phase when it is growing is known as the juvenile phase or the vegetative phase (in plants). The phase after that when the reproductive organs in the organism matures is known as the reproductive phase. Senescence is the phase when the plant starts deteriorating as it grows old and finally dies.,Biology,21
321,In which plant species is it difficult to define the different phases (juvenile reproductive phase)?,Biennial,Annual,Perennial,Seasonal,C,It is difficult to clearly distinguish between the different phases in perennial plants. Some plants exhibit unusual flowering phenomena. Some plants flower every year there are some that flower every 10 years and some plants flower every 50 years. Neelakurinji is a flowering plant that flowers every 12 years.,Biology,22
322,Which type of plants flower only once?,Monocarpic,Polycarpic,Vivipary,Unocarpic,A,Monocarpic plants flower only once in its lifetime. They die after flowering. Annuals like marigold wheat paddy biennials like radish perennials like Bambusa tulda which flowers every 50-100 years fruits and dies.,Biology,23
323,Which type of plant flowers repeatedly?,Polypary,Vivipary,Polycarpic,Monocarpic,C,Polycarpic plants are those that flower repeatedly which means they do not die after flowering once. Examples are perennials like apple mango and perennial flowers like china rose it flowers throughout the year.,Biology,24
324,What are the 3 phases in a life cycle (in order)?,reproductive senescence juvenile,juvenile senescence death,reproductive senescence death,juvenile reproductive senescence,D,There are 3 phases in a life cycle.,Biology,25
325,Name the sequence in which sexual reproduction is divided into?,fertilization post-fertilization reproduction,pre-fertilization fertilization post-fertilization,pre-fertilization fertilization reproduction,pre-fertilization post-fertilization fertilization,B,Sexual reproduction is the fusion of the male and the female gamete that forms a single celled zygote the process is known as fertilization. This process has been divided into 3 events. The pre-fertilization fertilization and post-fertilization events.,Biology,26
326,Which factor is responsible for the changes in the 3 phases in a life cycle?,Blood,Hormones,Respiration,Nervous system (in animals,B,Hormones are chemical messengers that travel through the bloodstream (in case of animals). Hormones are responsible for the change in the phases in both plants and animals. Hormonal change can be affected by environmental factors too.,Biology,27
327,What are the 2 main pre fertilization events?,Gamete transfer and fertilization,Gamete transfer and gametogenesis,Gametogenesis and fertilization,Gametogenesis and cell division,B,Gametogenesis refers to the formation of the gametes. In sexual reproduction formation of gametes is very important since an offspring is formed only after the fusion of the gametes. Gamete transfer refers to bringing the 2 gametes together.,Biology,28
328,The male gamete is called as ___________,Antherozoid,Egg,Isogametes,Fucus,A,Male gamete is called antherozoid or sperm. They are called so in heterogametes. The two gametes produced are morphologically distinct types. The female gamete is called egg or ovum.,Biology,29
329,What are the male organs in a flowering plant called?,Carpels,Petals,Ovary,Stamen,D,Stamens are the male organs of a flower. Flowers maybe unisexual (either staminate or pistillate). In staminate plants only the male part that is the stamen is present and in the pistillate plants only the female part is present (ovaries). In bisexual plants both are present.,Biology,30
330,Cucurbits and coconuts are examples of _______,Polycious,Dioecious,Trioecious,Monoecious,D,A plant having both reproductive organs in the same plant is known as monoecious plants. It may also be known as homothallic conditions. Dioecious plants are those which have only one reproductive organ also known as unisexual plants. Another word for dioecious plants is heterothallic.,Biology,31
331,Which of the following is an example of a unisexual organism?,Earthworm,Cockroach,Tapeworm,Leech,B,Cockroach is an example of a unisexual organism which means it can produce only one type of gamete either male or female. Leech tapeworm and earthworm are bisexual organisms organisms that can produce both gametes.,Biology,32
332,Gametes in all ____ species are of 2 types,Heterogametic,Homogametic,Mongametic,Polygametic,A,All heterogametic species can produce 2 types of gametes male and female their sex chromosomes are unidentical. Homogametic species the sex chromosomes are identical.,Biology,33
333,What are the cells in diploid organisms that undergo meiosis called?,mitocytes,meiocytes,polygametes,gametes,B,Meiocytes are cells in diploid organisms that undergo meiosis. Meiosis is the process of producing 4 haploid cells from a single cell that has been divided twice. The haploid cell then becomes diploid after its fusion with the other sex gamete.,Biology,34
334,Which structure in the plant carries the male organ?,sperm,ovule,pollen grain,spores,C,The pollen grains carry the male organ. Mostly the male organs are the motile gamete while the female organ is stationary. It is necessary for the male organs to be small and light for easy propagation by the environmental agents.,Biology,35
335,What is syngamy?,Parthenogenesis,Gamete transfer,Fertilization,Gametogenesis,C,Syngamy is the process of fusion of a haploid male(n) and a haploid female(n) gamete. On fusion the zygote or the egg formed is diploid(2n). Often this process is also known as fertilization.,Biology,36
336,What is the most important event in sexual reproduction?,Fusion of gametes,Secondary sexual organs,Temperature,Environmental factors,A,Fertilization is the most important event in sexual reproduction. It is the process of fusion of 2 haploid gametes of different sex forming one single diploid zygote. Also known as syngamy.,Biology,37
337,The parthenogenesis is also called as ________,fertilization,syngamy,virgin birth,fusion,C,It is reproduction without fertilization. This means the egg or ovum or the female gamete is not fertilized by the male gamete. The offspring hence born is haploid. Since there is no fertilization involved it is called as virginal reproduction or virgin birth.,Biology,38
338,________ is retained throughout generations in parthenogenesis,Phenotype,Genotype,Age,Generation,B,Since there is no fertilization there is no crossing over of genes hence the genotype is retained throughout generations in parthenogenesis. This means no variety in the population.,Biology,39
339,What is the disadvantage of parthenogenesis?,Wastage of germplasm,Retention of genotype,Lack of adaptability,Variety in population,C,Since there is no fertilization of gametes taking place there is no crossing over of genes taking place. This hence causes no variations in the generations. This makes it difficult for the offspring to adapt to the changing environmental conditions.,Biology,40
340,Where does syngamy occur?,Terrestrial,Water,Outside,Internally,D,Syngamy is the fusion of 2 haploid gametes to form a diploid zygote. This process of fusion happens internally inside the female body. Because of this syngamy is also often known as internal fertilization.,Biology,41
341,How are the non-motile pollen grains carried to the female gamete?,Insects,Pollen tube,Anther,Stalk,B,Non motile pollen grains are carried to the female gamete via a pollen tube which extends from the stigma all the way through the style reaching the ovaries. Wind water insects etc. are just ways of mode of transportation for cross pollination.,Biology,42
342,In which of the following does syngamy occur inside?,Algae,Amphibians,Fishes,Humans,D,Syngamy is the process of fertilization that produces a diploid cell on the fusion of two haploid cells. It is also often called internal fertilization since the process takes place on the inside. However there are few species of organisms where syngamy occurs outside their bodies in an external medium. Example algae fishes amphibians etc. This is also called as external fertilization.,Biology,43
343,What is the event after zygote formation called?,Pre-fertilization,Post-fertilization,Fertilization,Gametogenesis,C,Sexual reproduction is divided into 3 events. Pre-fertilization fertilization and post-fertilization events. Pre fertilization is the events occurring before fusion of gametes (gametogenesis) fertilization is the fusion of gametes to form zygote and post-fertilization are the events occurring after zygote formation.,Biology,44
