Question,A,B,C,D,Answer,Explanation,Topic
Which of the following drugs is generally not misused by sportsperson?,Narcotic analgesics,Anabolic steroids,Vicks,Diuretics,C,"Certain sportspersons misuse drugs to enhance their performance. They misuse narcotic analgesics, anabolic steroids, diuretics and certain hormones in sports to increase muscle strength and to promote aggressiveness and as a result, increase athletic performance.",Biology
Which of the following is not a side effect of anabolic steroids on females?,Breast Enlargement,Masculinisation,Increased aggressiveness,Mood swings,A,"The side-effects of the use of anabolic steroids in females include masculinisation, (features like males), increased aggressiveness, mood swings, depression, abnormal menstrual cycle, excessive hair growth on the face and body, enlargement of clitoris, deepening of voice.",Biology
Which of the following is not a side effect of anabolic steroids on males?,Decreased sperm production,Excessive hair growth on face and body,Premature baldness,Depression,B,"The side effects of the use of anabolic steroids in males include acne, increased aggressiveness, mood swings, depression, reduction of the size of testicles, decreased sperm production, the potential for liver and kidney dysfunction, breast enlargement, premature baldness, enlargement of the prostate gland.",Biology
Which of the following is not associated with lowering the risk of substance abuse?,High levels of nurturance,Consistent discipline,Good parenting,Persuade the child to take more drugs,D,"Good parenting that combines with high levels of nurturance and consistent discipline, has been associated with lowered risk of substance (alcohol/drugs/tobacco) abuse. It is best to identify the situations that may push an adolescent towards the use of drugs or alcohol and to take remedial measures well in time.",Biology
Which of the following is not a common measure for prevention and control of alcohol and drugs abuse among adolescents?,Counselling,Education,Seeking help from unprofessional quacks,Avoiding undue peer pressure,C,"Some of the measures which are useful in prevention and control of drug and alcohol abuse among adolescents are proper education, counselling, seeking help from parents and teachers, avoiding undue peer pressure and seeking professional and medical help.",Biology
Which of the following is the most commonly consumed and abused intoxicant?,Alcohol,Amphetamine,Morphine,Tobacco,A,Alcohol or ethyl alcohol is the most commonly consumed and abused intoxicant. It is obtained through fermentation of various food articles and some fungi. Addiction to alcohol is called alcoholism or alcohol dependence.,Biology
Which of the following is generally not the reason of developing drinking habit?,Relief from pain,Unhappy family life,Success,Pleasure or excitement,C,"The reasons for developing a drinking habit generally are for a feeling of independence, overcoming frustration due to failure or loss, unhappy family life, curiosity, group pressure, pleasure or excitement, relief from pain, etc.",Biology
"In our liver, alcohol is converted into acetaldehyde with the help of __________",Pyruvate dehydrogenase,Alcohol dehydrogenase,Acetaldehyde dehydrogenase,Lactic acid dehydrogenase,B,Major metabolism of alcohol takes place in the liver. So alcohol is converted into acetaldehyde with the help of alcohol dehydrogenase. Acetaldehyde is oxidised in cytosol by acetaldehyde by acetaldehyde dehydrogenase.,Biology
Which of the following is not an ill effect of drinking alcohol?,Gastric disorders,Neuritis,Free state of mind,Sexual dysfunctioning,C,"The ill effects of drinking alcohol on our health are various gastric disorders, arterial dilation, reduced resistance to diseases, neuritis, osteonecrosis, sexual dysfunctioning, etc.",Biology
Which of the following is a serious complication from alcohol consumption that is ultimately fatal?,Hepatitis,Cholestasis,Fatty liver syndrome,Liver Cirrhosis,D,"A part of alcohol is changed to acetaldehyde which stimulates the formation of fats which gets deposited over the walls of arteries and in the cells of the liver. With the accumulation of fat, the liver cells fail to produce proteins and enzymes. There is a little regulation of fat, protein and carbohydrate metabolism. The disorder is called fatty live syndrome. Liver later turns into a fibrous organ. This process is called Liver cirrhosis.",Biology
Which of the following is not a social effect of drinking alcohol?,Absenteeism,Amnesia,Antisocial behaviour,Neglect of family,B,"The social effects of drinking alcohol include Antisocial behaviour, Absenteeism which leads to loss of interest in work, an alcoholic becomes self-centred and starts to neglect his own family. Also, continued use of alcohol leads to decreased mental functions which his called amnesia.",Biology
Which of the following is not a common measure for de-addiction from alcohol?,Psychotherapy,Thiamine rich diet,Giving other drugs,Disulfiram,C,"For de-addiction, psychotherapy or counselling is very important. The patient should be provided with thiamine rich diet and brain depressants like benzodiazepines. Patients are also given disulfiram or carbimide.",Biology
Which of the following is not a common method of tobacco consumption?,Smoking,Chewing,Snuffing,Injecting,D,"Tobacco is consumed through smoking, chewing and snuffing. Chewing is done with betel leaves, as paan masala or gutka. Snuff is fine tobacco powder which is inhaled for direct dissolution in the mucous membrane of the nasal tract. Smoking is the most common form of tobacco use.",Biology
Which is the habit-forming ingredient of tobacco?,Nicotine,Tar,Catechol,Phenol,A,"Habit-forming active ingredient of tobacco is nicotine. It is synthesised in the roots but accumulates in the leaves. Nicotine content of tobacco leaf is 0.5-8%. A cigarette contains 6-11 mg of nicotine, out of which 1-3 mg is inhaled.",Biology
Which of the following is not a harmful effect of consuming tobacco?,Bronchitis,Stains and smell,Pleasure,Emphysema,C,"The harmful effects of consuming tobacco are stains, smell, emphysema, bronchitis, premature wrinkling, Gastro-intestinal disorders, coronary heart diseases, sexual dysfunction, cancer, arteriosclerosis, etc.",Biology
Which of the following is not a method of enhancing food production?,Animal husbandry,Plant breeding,Tissue culture techniques,Deforestation,D,"With ever-increasing population of the world, enhancement of food production is a major necessity. Animal husbandry and plant breeding have a major role in increasing food production. Several new techniques like embryo transfer technology and tissue culture techniques are going to play a pivotal role in further enhancing food production.",Biology
Animal husbandry does not deal with which of the following?,Cows,Plants,Prawns,Fishes,B,"Animal husbandry deals with the care and breeding of livestock like buffaloes, cows, pigs, horses, sheep, camel, etc., that are useful to humans. Extended, it includes poultry farming as well as fisheries.",Biology
What percentage of the world livestock population is estimated to be present in India and China?,72%,25%,90%,68%,A,"It is estimated that more than 70% of the world livestock population is in India and China. However, the contribution to the world farm production is only 25% which means that productivity per unit is very low.",Biology
Who is known as the father of the white revolution in India?,Herbert Boyer,Verghese Kurien,M.S. Swaminathan,Charles Darwin,B,Father of the white revolution in India was Verghese Kurien. White revolution is associated with milk production. The rise in milk production in India has been due to operation flood and white revolution undertaken through National Dairy research institute.,Biology
Which of the following is not a dairy animal?,Cow,Buffalo,Camel,Goat,C,"Dairy animals or Dairy cattle are cows, buffaloes and goats which are reared for obtaining milk. Dairying is the running of a dairy farm for the upkeep of dairy animals, extraction of milk and preparation of various milk products.",Biology
Which of the following processes is given major importance in dairy farm management?,Increase in yield and quality of milk,Increase in size of cattle,Increase in the number of cows,Increase in number of buffaloes,A,"Dairy farm is an enclosure used for keeping and breeding dairy animals for milk production. In dairy farm management, we deal with processes and systems that increase the yield and improve the quality of milk.",Biology
Milk yield does not depend upon which of the following?,Quality of breeds,Breeds having high yielding potential,Resistance to diseases,Number of cows,D,Milk yield is primarily dependent upon the quality of breeds in the farm. Selection of good breeds having high yielding potential (under the climatic conditions of the area) combined with resistance to diseases is very important.,Biology
Which of the following has to be done in order to realise the yielding potential?,Cattle should be left on their own,Cattle should be well looked after,Cattle should be fed every alternate day,Quantity of fodder should be unlimited,B,"For the yield potential to be realised, the cattle have to be well looked after-they have to be housed well, should have adequate water and be maintained disease-free. The feeding of the cattle should be carried in a scientific manner- with special emphasis on the quality and quantity of fodder.",Biology
Which of the following is not a stringent measure to ensure proper yield in a dairy farm?,Stringent cleanliness,Hygiene while storing milk products,Hygiene while transporting milk products,Ensuring that cattle get enough freedom to perform their daily activities,D,"Stringent cleanliness and hygiene of both the cattle and the handlers are of paramount importance. While milking, storing and transporting milk and its products, hygiene should be maintained.",Biology
How can we identify and rectify the problems occurring in a dairy farm?,Regular inspection of dairy farm,Cattle should be given their own space and freedom,By making cattle independent,By sitting and observing the cattle,A,We can identify and rectify the problems occurring in a dairy farm by ensuring that all stringent measures are taken into account which can be done by regular inspections with proper record keeping. Regular visits by a veterinary doctor should also be mandatory.,Biology
Which of the following cannot be obtained in a dairy farm?,Cream,Curd,Butter,Vegetables,D,"Different kinds of products which can be obtained from milk in a dairy farm are cream, curd, buttermilk, Ghee, Condensed milk, powdered milk and cheese.",Biology
Which of the following animals would you not expect in a dairy farm?,Cow,Camel,Cat,Sheep,B,"Animals that you could expect in a dairy farm are a cow, buffalo, sheep and goat for milk production. Some dairy farms have cats to keep the place free of rodents.",Biology
How many breeds of cattle are present in India?,108,26,72,7,B,"There are 26 breeds of cattle and seven breeds of buffaloes which differ in their body colour, horn and forehead. Buffaloes serve as the primary source of milk- the only dietary animal protein for the majority of Indians.",Biology
What is a bullock?,Fertile female cow,Fertile male cow,Infertile female cow,Castrated male cow,D,Bullocks are castrated male cows. They have been used in agricultural operations and drawing carts. Their young forms are called steers.,Biology
Which of the following is an example of Milch breed?,Sahiwal,Nageri,Hallikar,Malvi,A,"Examples of Milch breed are Sahiwal, Red Sindhi, Gir and Deoni. Draught breed includes Nageri, Hallikar, Malvi and Kangayam.",Biology
Which breed of cows has good milk production as well as includes males with good working capacity?,Milch breed,Exotic breed,General utility breed,Draught breed,C,"General utility breed includes cows with good milk production and males with good working capacity. It includes Haryana, Kankrej, Tharparkar and Ongole.",Biology
What are exotic breeds?,A Breed of animals living in an area,Foreign breeds of animals introduced in a region,A Breed of animals who got separated from their ancestors,A breed of endangered animals,B,"Exotic breeds are foreign breeds of animals which are introduced in a country and require a special environment. For example, Holstein-Friesian, Brown Swiss, Jersey, etc.",Biology
Which of the following is an exotic breed from Holland?,Ayrshire,Brown Swiss,Holstein-Friesian,Red Dane,C,"Holstein-Friesian is an exotic breed from Holland. Ayrshire, Brown Swiss and Red Dane are exotic breeds from Scotland, Switzerland and Denmark respectively.",Biology
Why do buffaloes prefer to go in the water during summers?,They are lazy,They like water,They like the taste of water,They have the low heat tolerance,D,"During summers, as they have black bodies which only absorbs heat and does not radiate it, so they prefer cool place or wallows in watery comfort. This way they could escape the scorching heat of the sun in summers.",Biology
Which of the following is not typically included in Poultry farming?,Cow,Chicken,Duck,Turkey,A,"Poultry is the class of domesticated fowl used for food or for their eggs. They typically include chicken and ducks, and sometimes turkey and geese. The word poultry is often used to refer to the meat of only these birds but in a more general sense, it may refer to the meat of other birds too.",Biology
Which of the following is not an important component of poultry farm management?,Disease-free breed,Proper food,Dirty conditions,Safe farm conditions,C,"Selection of disease-free and suitable breeds, proper and safe farm conditions, proper food and water, proper hygiene and health care are important components of poultry farm management.",Biology
What is a domestic fowl?,It lives in a particular region,It is a foreign breed,A bird kept for obtaining meat and eggs,A specific bird kept for breeding purposes only,C,"Domestic fowl constitutes a major poultry bird as 90% of poultry farming is connected with rearing, breeding and management of Domestic fowl which is used for obtaining meat and eggs.",Biology
Poultry birds which are exclusively grown for meat are called ___________,layers,cockerel,rooster,broilers,D,Poultry birds which are exclusively grown for meat are called broilers. Layers are female fowls raised for egg production. A cockerel is young male fowl. Rooster is the mature male fowl.,Biology
Which of the following is not a characteristic feature of a broiler?,"Generally, they are females",Sold in fresh or frozen form,Grown for 6-7 weeks,Also called as table birds,A,"Broilers are also called as Table birds. They are quick growing birds which are generally males but can also be a female. They are grown for 6-7 weeks when they attain a weight of 1.5-2 kg. Broilers are sold in fresh or frozen form after removal of feathers, head and feet.",Biology
Which of the following is not a characteristic feature of Layers?,Females having a high rate of egg production,They are never vaccinated,Birds are given a fresh balanced diet,The best layers belong to White Leghorn,B,Layers are females which have a high rate of egg production. Birds are always vaccinated. They are debeaked twice. Birds are always given fresh balanced diet. Females start laying eggs in about 22 weeks. The best layers belong to White Leghorn.,Biology
Which of the following is not obtained by eating eggs?,Protein,Lipid,Carbohydrate,Alcohol,D,Egg contains 12.9% of protein. It contains 11.5% of lipids which is mostly found in the egg yolk. It contains 0.2-0.7% of carbohydrates. Egg contains almost all minerals and vitamins.,Biology
Which of the following is an Indian breed of Poultry?,Busra,White leghorn,Australorp,Plymouth Rock,A,"Busra is an Indian breed of Poultry. Other examples include Ghagus, Aseel, Chittagong, Cochin, Brahma, Kadaknath. White Leghorn, Australorp and Plymouth Rock are Mediterranean, British and American breeds respectively.",Biology
Which of the following is not an exotic breed reared in India?,Rhode Island Red,White leghorn,Plymouth Rock,Ghagus,D,"Presently, in India, about 80% of the chicken are reared from three exotic breeds-Rhode Island Red, White leghorn (for eggs) and Plymouth Rock (for broilers). Crosses have been made between exotic and indigenous breeds in order to increase immunity against diseases.",Biology
Which of the following is not an aspect of animal breeding?,Improve desirable qualities of breeds,Increasing the yield,Making diseased organisms,Making disease resistance breeds,C,Breeding of animals is an important aspect of animal husbandry. Animal breeding aims at increasing the yield of animals and improving the desirable qualities of their produce and making them disease resistant.,Biology
What is a breed?,Animals related by descent,Animals related by an ascent,Animals not related at all,Clone of animals,A,"A group of animals related by descent and similar in most characters like general appearance, features, size, configuration, etc., are said to belong to a breed.",Biology
Animals are selected for breeding on the basis of all of the following except ______,Mammary system and udder,ratio of yield to diet,Having long ears,Disease resistance,C,"Animals are selected for breeding on the basis of quality and quantity of yield, the ratio of yield to diet, duration of reproductive period and lactation, mammary system and udder and disease resistance.",Biology
What is inbreeding?,Mating of closely related species,Mating of unrelated species,Mating of clones,Mating of different breeds,A,Inbreeding refers to the mating of more closely related individuals within the same breed for 4-6 generations. The breeding strategy is as follows-superior males and superior females of the same breed are identified and mated in pairs.,Biology
Which of the following is not associated with inbreeding?,Mating between animals of unrelated species,Elimination of undesirable characters,Increases homozygosity,Causes inbreeding depression,A,Inbreeding is the mating between the animals of the same breed having common ancestors up to 4-6 generations. Inbreeding increases homozygosity. It is also responsible for the elimination of undesirable characters and it causes inbreeding depression.,Biology
Which of the following type of animals breeding is used to develop a pure line in any animal?,Outcrossing,Crossbreeding,Hybridisation,Inbreeding,D,"Inbreeding increases homozygosity, thus inbreeding is necessary if we want to evolve a pure line in any animal. Inbreeding also exposes harmful recessive genes that are eliminated by selection. It also helps in the accumulation of superior genes and the elimination of less desirable genes.",Biology
Which breeding is used to overcome inbreeding depression?,Out-crossing,Cross-breeding,Interspecific hybridisation,Inbreeding,A,"Continued inbreeding, especially close inbreeding, usually reduces fertility and even productivity. This is called inbreeding depression. Whenever this becomes a problem, selected animals of the breeding population should be mated with unrelated animals of the same breed. This is called as outcrossing and it often helps to overcome inbreeding depression.",Biology
Which of the following is the best breeding method for animals which are below average in productivity?,Out-breeding,Out-crossing,Inbreeding,Interspecific hybridisation,B,"Out-crossing is the practice of mating of animals within the same breed, but having no common ancestors on either side of their pedigree. The offspring of such a mating is known as an outcross. It is the best breeding method for animals that are below average in productivity in milk production, the growth rate in beef cattle, etc.",Biology
Which of the following is not included in out-breeding?,Out-crossing,Cross-breeding,Inbreeding,Interspecific hybridisation,C,Out-breeding is the breeding of the unrelated animals which may be between individuals of the same breed but having no common ancestors for 4-6 generations (Out-crossing) or between different breeds (Cross-breeding) or different species (Interspecific hybridisation).,Biology
Which of the following is not related to Cross-breeding?,Undesirable qualities of two breeds are combined,Progeny used for commercial production,Mating between superior animals of different breeds,It is done to develop new stable breeds,A,Cross-breeding is the mating between superior animals of different breeds for raising new breeds or improving new breeds. Cross-breeding allows the desirable qualities of two different breeds to be combined. The progeny may also be used for commercial production. It is also done to develop new stable breeds.,Biology
Hisardale is a new breed of sheep developed in __________,Gujarat,Punjab,Madhya Pradesh,Rajasthan,B,Hisardale is a new breed of sheep developed in Punjab by crossing Bikaneri ewes and Marino rams. It is an example of Cross-breeding where breeds are subjected to some form of inbreeding and selection to develop new stable breeds that may be superior to the existing breeds.,Biology
Mule is an example of ________,out-crossing,inbreeding,cross-breeding,interspecific hybridisation,D,"Mule is an example of Interspecific hybridisation, where male and female animals of two different species are mated. Mule is produced by the cross of a Female horse and a male donkey. It is considered to be of considerable economic value.",Biology
How are controlled breeding experiments carried out?,Inbreeding,Interspecific hybridisation,Artificial insemination,Out-crossing,C,Controlled breeding experiments are carried out using artificial insemination. The semen is collected from the male that is chosen as a parent and is injected into the reproductive tract of the selected female by the breeder.,Biology
Which of the following is not related to artificial insemination?,Semen can only be stored in hot water,Semen can be transported in a frozen form,Semen can be used immediately,Semen can be stored and kept for later use,A,"In artificial insemination, the semen may be used immediately or can be frozen and used at a later date. It can also be transported in a frozen form to where the female is housed. In this way, desirable matings are carried out.",Biology
MOET stands for ____________,Multiple Ovules Embedded Transfer technology,Multiple Ovulation Embryo Transfer,Many Ovules and Embryos Transfer technology,Multiple Ovulation Embryo Transfer Technology,D,"MOET stands for Multiple Ovulation Embryo Transfer Technology. Often the success rate of crossing mature male and female animals is fairly low even though artificial insemination is carried out. To improve the chances of a successful production of hybrids, MOET is one of the programmes for herd improvement.",Biology
Which of the following is not related to MOET?,The cow is administered with FSH like activities,Cows produce 6-8 eggs,The animal is mated with a normal bull,The animal is artificially inseminated,C,"In MOET, a cow is administered hormones, with FSH like activity, to induce follicular maturation and superovulation-instead of one egg, which they normally yield per cycle, they produce 6-8 eggs. The animal is either mated with an elite bull or is artificially inseminated.",Biology
How has the herd size of cattle been successfully increased?,Breeding normal cows,Breeding diseased cows,Breeding high milk-yielding bulls,Breeding high-quality meat-yielding bulls,D,"High milk-yielding breeds of females and high quality (lean meat with less lipid) meat- yielding bulls have been bred successfully to increase herd size of cattle in a short time. MOET technology has been demonstrated for cattle, sheep, rabbits, buffaloes, mares, etc.",Biology
What is Apiculture?,Rearing of bees,Rearing of animals,Rearing of birds,Rearing of insects,A,Apiculture or beekeeping is the rearing of bees for collecting honey and wax. The place where honey bees are reared is called an apiary. The workers are known as apiarists or apiculturists.,Biology
Where do honey bees live?,Colony,Hives,Desert,House,B,"Honey bee lives in natural or artificial nests called hives. Natural hives hang down from tree branches, the roof of caves, balconies and other extensions of buildings. Artificial hive or bee box is a metallic hollow box with chambers, slit-like platform and a stand with legs.",Biology
Which of the following is a caste of the honey bee?,Queen,King,Drones,Workers,B,"Honey bee is a social, colonial and polymorphic insect with three main castes-fertile female or queen, males or drones and sterile female workers. Queen receives all the sperms required for its life during nuptial flight with drones.",Biology
Which of the following hormone is secreted by Queen of honey bees?,Bombykol,Trail pheromone,Antiqueen pheromone,Copulin,C,"Queen secretes an antiqueen substance, a pheromone, from its glands. It inhibits worker bees to build another royal brood chamber and produce royal jelly for others. The queen lays 2000 fertilised eggs per day. Eggs hatch to give rise to new worker bees which are sexually sterile females.",Biology
Which of the following is not a differentiation of worker bees?,Builder bees,Nurse bees,Sanitary bees,Drones,D,"Worker bees are differentiated into sanitary bees (early few days), nurse bees (first month, feeding larvae and queen), farmer bees, guard bees, builder bees (producing bee wax, building and repair of the hive) and foragers (collecting honey).",Biology
Which of the following bees does the tail-wagging dance?,Scout bees,Nurse bees,Builder bees,Sanitary bees,A,Some forager bees function as scout bees that search for new feeding places. Scout bees communicate the position of a food source by round dance if it is less than 75 m and tail wagging dance for longer distances.,Biology
Which of the following is not a useful product of Apiculture?,Bee venom,Honey,Beeswax,Jelly,D,"Apiculture is highly useful. It provides us with honey which is a near-neutral aromatic tonic, laxative and sweetening syrup. Beeswax is used in cosmetic creams, ointments, paints, polishes and smokeless decorative candles. Bee venom is used in the treatment of Rheumatoid arthritis.",Biology
Which of the following does not attack honey bees?,Wasps,Houseflies,Mites,Black ants,B,"Honey bee is attacked by wasps, wax moths, mites, black ants, green bee-eater and king crow. Nosema disease of honey bee is caused by protozoan",Biology
Which of the following is the characteristic feature of Fin fishery?,Rearing of animals having fins,Rearing of animals living only in freshwater,Rearing of animals living only in marine water,Rearing of aquatic plants,A,"Fin fishery is the capture, management and exploitation of aquatic animals having paired or unpaired fins. They are broadly divided into cartilaginous and bony fishes. Cartilaginous fishes occur exclusively in the sea which also contains a number of bony fishes.",Biology
Which of the following is the characteristic feature of Shell fishery?,Rearing of fishes,Rearing of only bony fishes,Rearing of aquatic animals having an outer shell,Rearing of cartilaginous fishes,C,"Shell fishery is a capture, management and exploitation of aquatic animals having an outer shell or a hard skeleton. They are of two main types- molluscs and arthropods especially crustaceans. Many of the shellfishes are also raised in aquaculture farms for higher productivity and ensured supply.",Biology
Management and rearing of fishes only is called as ____________,Aquaculture,Pisciculture,Apiculture,Fishery,B,Management and rearing of fishes only is called as Pisciculture. It further includes Mariculture and Inland fishery which is the culture of marine fishes and freshwater fishes respectively.,Biology
The management and rearing of aquatic animals is called as ____________,Pisciculture,Sericulture,Aquaculture,Fishery,D,"The management and rearing of aquatic animals is called as Fishery. It is an establishment connected with capture, transportation, preservation, exploitation and utilisation of various types of fishes, prawns, lobsters, oysters, etc. The fishery is of two types- Fin fishery and Shell fishery.",Biology
The practice of catching the fish only available naturally is known is __________,Monoculture,Capture fishery,Polyculture,Culture fishery,B,"Capture fishery is the practice of only catching the fish available naturally as in large water bodies of lakes, reservoirs, tanks, etc. Marine fisheries are also captured fisheries.",Biology
Which of the following is not a method of fish preservation?,Chilling,Baking,Canning,Salting,B,"Fish tends to decay soon. Therefore, it needs to be preserved immediately after being caught. The various methods of preservation are chilling, freezing, deep freezing, salting, chemical preservation and Canning.",Biology
Which of the following is not the economic importance of fishes?,Source of food,Source of water,Good source of vitamins,Polishing agent,B,Fishes and other aquatic food animals are an important source of food. Protein and lipid content is very high in fishes. Fish and other kinds of seafood are rich in iodine and other minerals. They are also a good source of vitamins A and D. It is also used in smoothening surfaces for polishing as well as covering certain articles.,Biology
Which of the following product of fishes is used for clearing wines?,Shagreen,Isinglass,Fish flour,Fish oil,B,Isinglass is obtained from the air bladder of bony fishes and is used for clearing wine and beer. Shagreen is the skin of cartilaginous fishes with placoid scales which is used to rub the material.,Biology
What is sericulture?,Rearing of fishes,Rearing of silkworm,Rearing of birds,Rearing of cockroach,B,Sericulture is the breeding and management of insects for the production of silk. Silk is of two main types-mulberry silk or cultivated silk and non-mulberry silk or wild silk.,Biology
Which of the following varieties of silk is not produced in India?,Muga Silk,Mulberry Silk,Tassar Silk,American Silk,D,"Four varieties of silk produced in India are natural silk, mulberry, tassar, eri and muga. India ranks third among the mulberry silk-producing countries of the world.",Biology
Which of the following is not considered as a silk city of India?,Jaipur,Kanchipuram,Bhagalpur,Pochampally,C,"India’s silk industry is the world’s second-largest contributor to 18% of the total raw silk production. The cities contributing for such growth of silk are Kanchipuram in Tamil Nadu, Bhagalpur in Bihar, Pochampally in Telangana. They are called silk cities in their respective states.",Biology
Which of the following silk is mainly produced in Assam?,Arundi silk,Natural silk,Muga silk,Tassar silk,C,Muga silk is produced by the larva of,Biology
Which of the following is not a characteristic feature of Eri silk?,Also known as Arundi silk,"Produced in Bengal, Bihar and Assam",Cocoons are soft and white,Larva feeds on oak leaves,D,Eri or Arundi silk is produced by the larva of,Biology
How many stages are there in the life cycle of a silkworm?,3,4,5,6,B,"The life history of silk moth passes through four stages-egg, larva, pupa and adult. About 50% of the cocoon are kept in boiling water to kill pupa and then thread is reeled off. Rest 50% are kept as such so that they become adult and the life cycle starts once again.",Biology
Cocoon is formed by how many pairs of glands?,Two,Three,Four,One,A,The cocoon is formed by two pairs of glands. One pair of glands form a protein fibroin which forms twin filaments and other pair of glands form a protein sericin which is responsible for joining of twin filaments.,Biology
Which of the following state is not a mulberry silk manufacturer in India?,Assam,Karnataka,Andhra Pradesh,Tamil Nadu,A,"In India, 97% of the raw mulberry silk is produced in Karnataka, Andhra Pradesh, Jammu and Kashmir, Tamil Nadu and West Bengal. The non-mulberry silk industry is found in Assam, Bihar, Bengal, Odisha and Madhya Pradesh. There are three main types of silk- Tassar silk, Muga silk and Eri silk.",Biology
Which of the following is not a reason for animal disease?,Genetic diseases,Deficiency diseases,Environmental discomforts,Hygiene and cleanliness,D,"Animal disease is a state of discomfort associated with disturbed or abnormal functioning of animal body due to genetic diseases, defective nutrition or deficiency diseases, unsuitable discomforts and attack of pathogens.",Biology
Which of the following steps should not be done for the prevention of infectious diseases?,Proper disposal of dead infected animals,Disinfection of the animal house,Freedom of infected animals,Vaccination of animals against major diseases,C,"For preventing the spread of infectious diseases, care should be taken about the isolation of infected animals, disinfection of animal house, Vaccination of animals against all major diseases, Proper disposal of dead infected animals and all contaminated articles.",Biology
Which of the following virus causes Foot and Mouth disease?,Coxsackievirus,Cowpox virus,Retrovirus,Reovirus,A,"Foot and Mouth disease is caused by Coxsackievirus. It affects cattle, sheep, goats, pigs and other ruminants. Common strains found in India are A, O and C. The disease is extremely contagious.",Biology
Which of the following is not a characteristic symptom of Foot and Mouth disease?,An eruption of vesicles over the lips,Fever,Increase in appetite,Lameness,C,"Foot and Mouth disease is characterised by the eruption of vesicles over the lips, inside buccal cavity and pharynx, over legs, feet, udder and even teats. The animal runs a fever. There is loss of appetite but dribbling of saliva is present. Lameness occurs.",Biology
Which of the following diseases can spread to humans while milking?,Foot and Mouth disease,Small Pox,Ranikhet,Cowpox,D,"Cowpox spreads to humans accidentally while milking infected animals. Lesions appear on fingers, rupture and spread to hands but heal without scarring. Local oedema with and without mild fever may also occur.",Biology
Which of the following is the highly contagious viral disease of cattle?,Foot and Mouth disease,Rinderpest,Cowpox,Ranikhet,B,"Rinderpest is a highly contagious disease of cattle, buffaloes, sheep, goat, etc. which is caused by Morbillivirus having ssRNA. The sick animal can be treated with an injection of sulfamethazine sodium.",Biology
Which of the following is not a method by which Rinderpest is spread amongst cattle?,Contact,Contaminated feed,Flies,Clean water,D,"Rinderpest spreads through contact, contaminated feed and water, workers and their clothes, equipment and flies. The virus occurs in all body fluids and secretions of infected animals even before the appearance of clinical symptoms.",Biology
Which of the following is not a symptom of Rinderpest?,Dysentery,Fever,Congestion,Blue urine,D,"Symptoms of Rinderpest include fever, dysentery or constipation with blood laced hard faeces, ocular and nasal discharges, anorexia, leukopenia followed by diarrhoea or loose motions with an offensive odour.",Biology
Which of the following is not a viral disease?,Salmonellosis,Ranikhet disease,Laryngotracheitis,Fowl Pox,A,Salmonellosis is a bacterial disease caused by,Biology
Which of the following is incorrect about Bird Flu?,Caused by H5N1,Bacterial disease,Also known as Avian influenza,Attacks poultry birds,B,Bird Flu which is also known as Avian influenza is a viral infection caused by H5N1. It often attacks poultry birds and from them to humans. Disease reservoir is migratory birds. The pathogen can be airborne so poultry workers must be extra careful.,Biology
Which of the following organism causes pneumonia?,Bacteria,Protozoan,Fungi,Slime mould,A,Pneumonia is caused by bacteria,Biology
Which of the following is not a characteristic of pneumonia in animals?,Inflammation of lungs,Accumulation of mucus in alveoli,Fever,Easy breathing,D,"Pneumonia is a disease of lungs which is characterised by inflammation of lungs and accumulation of mucus in alveoli and bronchioles that makes breathing quite difficult. Fever, chill and rapid shallow breathing are also observed.",Biology
Mastitis refers to _________,Inflammation of nephrons,Inflammation of neurons,Inflammation of Udders,Inflammation of mast cells,C,Mastitis is an inflammation of udders that often occurs in dry cows and pre-calving heifers due to infection of bacterium,Biology
Which of the following is a highly contagious bacterial disease of cattle?,Mastitis,Anthrax,Pneumonia,Typhoid,B,"Anthrax is a highly contagious bacterial disease of cattle, buffalo, horse, sheep, goat, etc. which is caused by rod-shaped bacterium called",Biology
Which of the following is not a symptom of Anthrax?,Rapid Breathing,Low body temperature,Discharge from nostrils,Rapid heartbeat,B,"Symptoms of Anthrax include high fever, rapid breathing, congestion, painful swellings in different body parts, blood mixed foamy discharge from nostrils and later from mouth and anus. The body temperature also becomes high. Rapid heartbeats and breathing are also observed.",Biology
Which of the following is not a preventive measure for Anthrax?,Vaccination,Antiserum injection,Dirty pastures,Carcasses should be effectively disposed,C,"Preventive measures include vaccination and antiserum injection to all, if the disease is noticed in any of the animals of the pasture. Carcasses should be effectively disposed off to prevent dispersal of anthrax spores.",Biology
Which of the following is not an endoparasite?,Ticks,Tapeworm,Liver fluke,Roundworm,A,"Endoparasites live inside the body of animals. They also generally feed over animal fluids and semi-digested food in the alimentary canal. For example, Tapeworm, Liver fluke and Roundworm.",Biology
Where does liver fluke lives in sheep?,Brain,Kidney,Bile ducts,Pancreas,C,Liver fluke causes liver rot or fascioliasis in sheep. The parasite lives in bile ducts. Liver fluke also passes a part of its life cycle in snails. Eradication of snails can help in the control of the disease.,Biology
Which of the following is not caused by liver fluke in animals?,Anaemia,Diarrhoea,Eosinophilia,AIDS,D,"Liver fluke causes inflammation of bile ducts, anaemia, diarrhoea, eosinophilia and liver rot which may lead to the death of the animal. Anthelminthic drugs like emetine hydrochloride and hexachloroethane are useful in treatment of the disease.",Biology
